investor_firm,source_portfolio_url,portfolio_company,portfolio_company_website,industry,niche,business_model,customer_type,geography,recurring_revenue_signal,service_criticality_signal,fragmentation_signal,acquisition_search_context,gb_relevance,follow_up_research_needed,source_confidence,curation_status
BK Growth,https://www.bkgrowth.com/portfolio,NovoPath,https://www.novopath.com,Healthcare software,Laboratory information system,Healthcare/lab software,Pathology/laboratories,Unknown,LIS software likely recurring,Lab information systems are mission-critical,Specialty healthcare software markets can be fragmented,BK Growth portfolio logo/link from approved page HTML,Strong vertical healthcare software pattern; cross-check with Pacific Lake healthcare software theme,"Research customer retention, implementation complexity, regulatory drivers, and TAM",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Nutrishare,https://nutrishare.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Objective Management Group,https://www.objectivemanagement.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Olea Software,https://www.oleasoftware.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,P3 Works,https://www.p3-works.com/home,Professional services / government,Public-private partnership advisory/administration,Advisory/administrative services,Public entities/developers,Unknown,May have recurring administration fees; verify,Public infrastructure financing/admin can be important,Specialized advisory providers may be fragmented,BK Growth portfolio logo/link from approved page HTML,Potential niche professional services pattern but project/advisory risk needs diligence,"Review recurring admin revenue, customer mix, procurement cycles, and scale",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Pacific Fertility Center,https://www.pfcla.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Page Vault,https://www.page-vault.com,Legal technology / software,Web capture and preservation for legal/compliance use,Software/services,Law firms/legal teams,Unknown,Software/service subscriptions possible; verify,Evidence preservation can be mission-critical in legal workflows,Legal tech niches may be fragmented,BK Growth portfolio logo/link from approved page HTML,Attractive niche workflow/legal-compliance software signal,"Research retention, buyer, usage frequency, defensibility, and litigation cycle exposure",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Pathfinder Brands,https://www.pathfinderbrands.co/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Peace Aging Care Experts,https://www.peaceagingcare.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Peak Propane,https://www.peakpropane.com,Energy services,Propane delivery/services,Route-based fuel services,Residential/commercial customers,Unknown,Fuel delivery can recur seasonally/contractually; verify,Heating/fuel supply is critical,Local propane distributors are fragmented,BK Growth portfolio logo/link from approved page HTML,Interesting route-based essential services pattern; commodity exposure and residential mix need caution,"Verify commercial mix, margin volatility, route density, tank ownership, and customer concentration",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Pelvic Health Solutions,https://phsfl.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Precision Med,https://www.precisionmed.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Quality Standard,https://qualitystandard.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,RDI,,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,ReVive,https://revive.md/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Route Two Partners,https://www.routetwopartners.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,SAMS,https://njbsoft.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Scribbles Software,https://www.scribsoft.com,Education software,Student records/document management,Software,Schools/districts,Unknown,Education software likely recurring,Records/document workflows can be operationally important/compliance-related,School admin software niches may be fragmented,BK Growth portfolio logo/link from approved page HTML,Good vertical software pattern with public-sector buyer diligence required,"Verify renewal rates, procurement friction, implementation needs, and customer concentration",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Sector 7 Energy,https://www.sector7energy.com,Professional services,Energy consulting,Consulting services,Commercial/industrial energy customers,Unknown,Consulting may be project-based; verify managed-service component,Energy cost/compliance work can be important,Unknown,BK Growth portfolio logo/link from approved page HTML; also appears on Pacific Lake,Cross-source signal but needs caution on repeatability,"Validate contract structure, regulatory drivers, and customer retention",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Smash My Trash,,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,SoftTrip,https://www.softrip.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Spanish Schoolhouse,https://spanishschoolhouse.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,StaffScheduleCare,https://www.staffschedulecare.com,Healthcare software,Staff scheduling/care workforce management,Software,Senior care/healthcare operators,Unknown,Workforce management software likely recurring,Staff scheduling in care settings is mission-critical,Vertical workforce software markets can be fragmented,BK Growth portfolio logo/link from approved page HTML,Strong vertical software pattern in healthcare operations,"Research customer retention, labor/regulatory drivers, and customer concentration",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Stage2Data,https://stage2data.com,IT services / data protection,Cloud backup and data protection,Managed IT/data services,Businesses,Unknown,Backup/data protection services likely recurring,Data backup and recovery are mission-critical,Managed data services market fragmented,BK Growth portfolio logo/link from approved page HTML,Strong recurring mission-critical IT services pattern,"Verify managed service mix, retention, channel, and customer size",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,STAT,http://www.statanalysis.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Tank Track,https://tank-track.com,Software / industrial,Fuel tank monitoring / tracking likely,Industrial monitoring software/services,Fuel/industrial operators,Unknown,Monitoring platforms may be recurring; verify,Tank/fuel monitoring can be operationally critical,Unknown,BK Growth portfolio logo/link from approved page HTML,Pairs with FluidSecure; possible fuel/fluid management cluster,"Confirm exact product, customers, recurring model, and hardware/service mix",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,TaskRay,https://taskray.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Team Management Systems,https://teamservice.com,Software / field services,Field service management software,Software,Service contractors,Unknown,Field-service software likely recurring,Operating software can be mission-critical,Field-service software niches can be fragmented,BK Growth portfolio logo/link from approved page HTML,Strong vertical workflow software signal for service businesses,"Research vertical focus, customer retention, and implementation depth",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Triyam,https://www.triyam.com,Healthcare software / data management,Healthcare data archival and management,Software/services,Healthcare organizations,Unknown,Data archive services may be recurring; verify,Healthcare records retention is compliance-critical,Healthcare data migration/archive providers may be fragmented,BK Growth portfolio logo/link from approved page HTML; also appears on TTCER,Cross-source compliance healthcare-data signal; strong niche-intelligence candidate,"Research regulatory drivers, renewal rates, switching costs, and market fragmentation",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,TopQuadrant,https://www.topquadrant.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Tortorella Group,https://www.tortorella.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Utility Management Solutions,https://utilitymanage.com,Professional services / utilities,Utility management,Services/software unknown,Property owners/businesses unknown,Unknown,Utility management may involve recurring service fees; verify,Utility cost/admin work can be important,Unknown,BK Growth portfolio logo/link from approved page HTML,Potential boring B2B utility/admin services pattern,"Clarify customer type, recurring revenue, savings model, and regulatory complexity",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Voice Friend,http://www.voicefriend.net/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Wu Consulting Group,https://wuconsulting.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
TTCER Partners,https://ttcerpartners.com/,Neul Capital Holdings,,Holding company,Unknown from source,Unknown,Unknown,Unknown,TTCER states emphasis on recurring revenues at firm level; company-specific signal unknown,Unknown,Unknown,TTCER select partner; company where TTCER holds board seat,Preserve as approved-source signal; needs company-level enrichment before pattern use,Find company website and business description from approved follow-up sources,Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,QMC Telecom,,Telecommunications,Wireless/telecom infrastructure,Unknown,Telecom carriers/infrastructure users,Unknown,Infrastructure revenue may be recurring; verify,Telecom infrastructure can be mission-critical,Unknown,TTCER select partner; company where TTCER holds board seat,Potential infrastructure/services pattern; likely worth enrichment,"Verify business model, geography, contract duration, and customer concentration",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Christopher Kimball Milk Street,,Unknown from approved source,Select Partners,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Select Partners; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
TTCER Partners,https://ttcerpartners.com/,Banyan Software,,Software,Vertical software holding company,Software acquisition and operation,Vertical software companies/customers,Unknown,Vertical software often subscription/maintenance recurring,Workflow software can be mission-critical,Fragmented niche software markets likely,TTCER select partner; company where TTCER holds board seat,Strong cross-source signal with Pacific Lake: niche vertical software holdco pattern,Map Banyan verticals and recurring-revenue characteristics,Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Mercury Roadway,,Unknown from approved source,Select Partners,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Select Partners; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
TTCER Partners,https://ttcerpartners.com/,Frotcom Intelligent Fleet,,Unknown from approved source,Select Partners,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Select Partners; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
TTCER Partners,https://ttcerpartners.com/,Datacor,,Software,Process manufacturing and distribution software,Vertical ERP/software,Chemical manufacturers and distributors,Unknown,Enterprise software likely recurring maintenance/SaaS; verify,ERP for process manufacturing/distribution is mission-critical,Vertical software markets can be fragmented by niche,TTCER select partner; company where TTCER holds board seat,Strong G&B market-pattern signal: niche vertical software for regulated/technical B2B industries,"Research Datacor verticals, retention, implementation complexity, and customer concentration",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,ESPYR,,Healthcare / employee services,Behavioral health and employee support services,Services/platform,Employers/organizations,Unknown,Employer support programs may be contract recurring; verify,Employee mental health/support can be important but buyer criticality varies,Unknown,TTCER select partner; company where TTCER holds board seat,Potential B2B healthcare services pattern; needs fit work,"Verify model, contract length, utilization, outcomes, and customer concentration",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Auronix,,Software / communications,Business messaging/communications,Software/platform,Businesses,Unknown,Communications platforms often recurring; verify,Customer/business communication can be operationally important,Unknown,TTCER select partner; company where TTCER holds board seat,Potential recurring B2B communications software signal; compare to Message Digital,"Verify customer type, vertical focus, retention, and regulatory use cases",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Eyeq Monitoring,,Security / monitoring,Remote video/security monitoring,Monitoring services,Businesses/properties,Unknown,Monitoring services likely recurring monthly contracts; verify,Security monitoring is mission-critical for many customers,Security services market often fragmented; verify,TTCER select partner; company where TTCER holds board seat,"Strong candidate pattern for niche-intelligence: recurring, mission-critical monitoring services","Research end markets, contract length, false-alarm ops, labor intensity, and fragmentation",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Beeckerco,,Software / automation,Intelligent automation services/software,Implementation/services platform,Enterprises,Unknown,Automation work may be project plus managed services; verify,Workflow automation can be important but varies by process,Unknown,TTCER select partner; company where TTCER holds board seat,Interesting B2B automation pattern but may be services-heavy and enterprise-sales-heavy,"Verify revenue mix, repeatability, specialization, and customer concentration",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,OI Infusion Services,,Healthcare services,Infusion therapy services,Specialty healthcare services,Patients/providers/payers,Unknown,Infusion care may be repeat treatment revenue; verify payer model,Healthcare delivery can be mission-critical,Specialty infusion sites may be fragmented regionally; verify,TTCER select partner; company where TTCER holds board seat,Strong healthcare services pattern if recurring treatments and payer contracts support durability,"Research payer mix, site economics, referral sources, regulation, and provider dependence",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Kantola,,Education / compliance training,Harassment prevention and DEI compliance training,eLearning/software,Businesses and government organizations,Unknown,Compliance training likely recurring annual/seat-based demand; verify,Compliance training is regulatory-driven and recurring,Training providers are fragmented; verify,TTCER select partner; company where TTCER holds board seat,Strong pattern: compliance-driven B2B training/eLearning with recurring demand,"Verify renewal rates, regulatory drivers, customer size, and content update burden",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Revive,,Healthcare / consumer services,Unknown from source,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TTCER select partner; company where TTCER holds board seat,Preserve but avoid fit conclusion until enriched,"Identify exact company, service line, and revenue model",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Vitana Pediatric Dental Partners,,Healthcare services,Pediatric dental services,Multi-site dental practice/DSO,Patients/families,Unknown,Patient recall cycles suggest recurring demand; verify,Dental care is important but consumer/payer dynamics vary,Dental practices are fragmented; verify,TTCER select partner; company where TTCER holds board seat,Healthcare roll-up pattern; likely adjacent but may be outside G&B core due to consumer/provider dependence,"Research DSO economics, retention, payer mix, clinician dependence, and market concentration",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Shandy Clinic,,Healthcare services,Pediatric therapy/clinic services likely,Clinic services,Patients/families,Unknown,Therapy services can be recurring episodes of care; verify,Clinical therapy services can be important to patients/families,Clinic markets may be fragmented locally; verify,TTCER select partner; company where TTCER holds board seat,Potential recurring healthcare services pattern; needs fit review,"Verify exact services, reimbursement model, clinician dependence, retention, and capacity constraints",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Sunburn,,Unknown,Unknown from source,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TTCER select partner; company where TTCER holds board seat,Insufficient evidence for G&B relevance yet,Identify company website and business model from approved follow-up sources,Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Taskray,,Software,Project management/customer onboarding software,Vertical/workflow software,Businesses using Salesforce/customer onboarding workflows,Unknown,Software likely subscription; verify,Customer onboarding workflow can be operationally important,Unknown,TTCER select partner; company where TTCER holds board seat,"Good B2B workflow SaaS pattern, though likely more software than G&B services core","Verify vertical focus, retention, Salesforce dependency, and customer size",Medium,needs_enrichment
TTCER Partners,https://ttcerpartners.com/,Triyam Data Management Solutions,,Healthcare software / data management,Healthcare data archival and management,Software/services,Healthcare organizations,Unknown,Data management software/services may be recurring; verify,Healthcare records/data retention can be compliance-critical,Healthcare data migration/archive providers may be fragmented; verify,TTCER select partner; company where TTCER holds board seat,Strong compliance/data-retention pattern worth niche-intelligence consideration,"Research regulatory demand, renewal rates, customer concentration, and switching costs",Medium,needs_enrichment
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,2020 Innovation,,Unknown from approved source,Portfolio,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,4EverYoung Anti-Aging Solutions,,Unknown from approved source,Portfolio,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,"Anovia Health, LLC",,Unknown from approved source,Portfolio,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Apex Fun Run,,Unknown from approved source,Portfolio,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Ascend Software,,Unknown from approved source,Portfolio,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Atlantic Duct Cleaning,,Unknown from approved source,Portfolio,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Avesta Ketamine,,Unknown from approved source,Portfolio,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,B4All,,Unknown from approved source,Portfolio,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
