tab,attio_company_id,firm_name,website,hq_city,hq_state,categories,description_short,lead_contact_name,lead_contact_title,lead_contact_email,last_interaction,connection_strength,in_existing_82_list,notes
Brokers,bfa0ebf3-172a-4fda-9688-b987a425ab77,Acquisition Lab,acquisitionlab.com,,,B2B; B2C; Business Supplies; Consulting & Professional Services; Education; Financial Services; Investment,"Acquisition Lab provides a comprehensive program that educates individuals on the process of buying a business, offering access to expert advisors and resources to support them from the initial search",,,,,,N,
Brokers,c3049da5-deaf-4d4f-b79d-36ab921bebfd,Dune Peak Partners,dunepeakpartners.com,,,B2C; Consulting & Professional Services; Financial Services; Investment; Venture Capital,"Dune Peak Partners specializes in partnering with business owners to help them transition their enterprises to the next phase, ensuring the preservation of their legacy while maximizing financial bene",,,,,,N,
Brokers,c50269d4-cbf4-4472-bdfc-c12bd63b8d62,Saltoun,saltouncapital.com,New York,New York,B2B; B2C; Consulting & Professional Services; Finance; Insurance; Investment Management,"Saltoun specializes in acquiring and developing software businesses, leveraging its own capital and expertise to maximize their growth potential for future generations.",,,,,,N,
Brokers,c5a49f39-4975-4b5e-8342-a62545000241,ABridge Keystone Partners,abridgekeystone.com,,,B2C; Consulting & Professional Services; Finance,"ABridge Keystone Partners partners with owner-operated small businesses to preserve their legacy while enhancing growth through strategic focus and operational excellence, recognizing their vital role",,,,2025-10-21,,N,
Brokers,c75c05a9-12f5-4f76-96db-368dd7ef7041,Eastridge Growth P 2,eastridgegp.com,San Jose,California,Consulting & Professional Services; Venture Capital,"Eastridge Growth P 2 focuses on partnering with CEOs and founders to identify, nurture, and support promising businesses, collaborating with management teams to drive sustainable growth and innovation",,,,2025-10-21,,N,
Brokers,caf1173c-a364-436d-bd48-60353a596286,Dumu Holdings,dumuholdings.com,,,Consulting & Professional Services,"Dumu Holdings provides hands-on support and partnership to businesses, emphasizing respect for their unique journeys and values while actively engaging in their operations to ensure long-term success ",,,,2026-01-15,,N,
Brokers,d6fe1e58-db95-4d18-be13-9f98dace3430,Crate Capital,cratecapital.com,,,B2B; B2C; Consulting & Professional Services; Finance; Insurance; Investment; Investment Management; Venture Capital,"Crate Capital is a company that specializes in acquiring, developing, and managing exceptional small businesses for long-term growth. With a passion for investing and decades of hands-on experience, t",,,,,,N,
Brokers,d9bd8899-ae85-4e6f-a2b6-74677a51ab7d,Your Business,phoenixlakepartners.com,,,Consulting & Professional Services,"Phoenix Lake is an investor that partners with founders to build resilient businesses, prioritizing their legacy, empowering employees, and delivering long-term value for all stakeholders through stra",,,,2025-10-21,,N,
Brokers,db032cf5-f588-458d-8b8e-7fb4f801dd42,NewSpring,newspringcapital.com,Radnor,Pennsylvania,B2B; B2C; Consulting & Professional Services; Enterprise; Finance; Insurance; Venture Capital,"NewSpring Mezzanine Capital is a regionally-focused mezzanine debt fund that invests in information technology, business services, healthcare and specialty manufacturing.",,,,,,N,In Outreach: Intermediary Pipeline (Contacted)
Brokers,dc657f4d-229a-41ed-ae67-10549601f31a,PSA Insurance & Financial Services,psafinancial.com,Cockeysville,Maryland,B2B; B2C; Consulting & Professional Services; Enterprise; Finance; Insurance; Marketplace; SAAS,"We are trusted advisors to you and your business, delivering tailored solutions designed to you help reach goals and meet your financial services needs.",,,,,,N,
Brokers,df2a566c-fd6f-4dd3-9509-44c3781b7c37,The NYBB Group,thenybbgroup.com,Melville,New York,B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Insurance; SAAS,"Specializing in the confidential sale, acquisition and valuation of small to mid-sized privately held businesses.",,,,,,Y,In Outreach: Intermediary Pipeline (Identified)
Brokers,e159782b-bbfb-4541-abd4-23ff2f6a44a6,Potomac View Partner,potomacviewpartners.com,,,Consulting & Professional Services; Corporate & Business,"Potomac View Partner specializes in providing personal transition opportunities for small to medium-sized business owners, helping them navigate the next chapter of their lives while ensuring their bu",,,,2026-04-29,,N,
Brokers,e169c0bc-7cfb-4eed-86ff-3bea1e56df94,WaveFront Search Partners,wavefrontsearch.com,Dublin,Ohio,B2C; Biotechnology; Consulting & Professional Services; Pharmaceuticals,I am an operator looking to buy and build a business serving the life sciences,,,,2025-10-21,,N,
Brokers,f50625ea-03e3-45a6-ba42-29bc7515d437,Plexus Capital,plexuscap.com,Raleigh,North Carolina,B2B; B2C; Consulting & Professional Services; Finance; Insurance; Marketplace; Venture Capital,"Plexus Capital is a private equity and mezzanine capital provider that specializes in offering tailored financial solutions to lower middle market businesses seeking growth capital, managing $1.4 bill",,,,2026-04-17,Good,N,In Outreach: Intermediary Pipeline (Warmed)
CPAs,c14d3838-fb97-49dd-a648-bc45aab085ac,JV CPA PC,jvcpapc.com,,,,,,,,2026-01-14,Very weak,N,In Outreach: Intermediary Pipeline (Actively Receiving Deal Flow)
Assn Heads,62d75fbc-155d-4659-8cba-3e4566963ad6,National Association of Estate Planning Councils,naepc.org,Cleveland,Ohio,B2C; Non-Profit & Philanthropy,"Dedicated to promoting and maintaining high professional and educational standards in the estate planning industry, offering graduate-level designations.",,,,2026-04-28,Good,N,
Assn Heads,9e82b203-d2b9-421a-961f-b6bd58901f12,National Association of Special Education Teachers,naset.org,Washington,District of Columbia,B2C; Education; Non-Profit & Philanthropy; Society,"Provides support to special education teachers through resources, training, and advocacy.",,,,2026-02-19,Very weak,N,
Brokers,ef0d47c3-3b73-4086-b4a8-125c4b6cd359,AGS Advisors Inc,agsadvisorsinc.com,,,B2B; B2C; Consulting & Professional Services; Finance; Insurance,Customized risk management and employee benefits solutions.,,,,,,N,
